"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Kyle Lowry","38:48","7","15",".467","4","6",".667","1","1","1.000","0","7","7","5","2","0","2","5","19","-10"
"3","DeMar DeRozan","38:03","10","29",".345","1","4",".250","14","18",".778","1","5","6","6","1","0","4","2","35","-12"
"4","Serge Ibaka","34:10","2","5",".400","1","2",".500","2","4",".500","2","8","10","0","1","2","4","3","7","-11"
"5","OG Anunoby","22:25","2","3",".667","0","0","","0","0","","1","0","1","1","2","0","0","3","4","-4"
"6","Jonas Valanciunas","15:24","4","6",".667","0","0","","3","3","1.000","1","2","3","0","0","1","3","3","11","-5"
"8","Delon Wright","27:00","3","7",".429","1","3",".333","0","0","","1","2","3","5","1","1","0","1","7","+1"
"9","Jakob Poeltl","24:27","4","6",".667","0","0","","2","2","1.000","3","4","7","1","1","0","2","6","10","+3"
"10","C.J. Miles","21:21","1","4",".250","0","3",".000","0","0","","0","1","1","1","1","0","3","3","2","+1"
"11","Pascal Siakam","18:22","1","4",".250","0","0","","1","2",".500","0","3","3","0","0","3","0","0","3","-3"
"12","Lorenzo Brown","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Norman Powell","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Alfonzo McKinnie","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Lucas Nogueira","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","34","79",".430","7","18",".389","23","30",".767","9","32","41","19","9","7","18","26","98",""
