"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Paul George","37:37","13","20",".650","8","11",".727","2","2","1.000","2","5","7","0","1","0","4","2","36","+3"
"3","Carmelo Anthony","37:19","5","13",".385","2","7",".286","3","4",".750","0","7","7","2","3","2","3","2","15","+1"
"4","Russell Westbrook","37:07","10","25",".400","0","4",".000","9","9","1.000","1","12","13","8","1","0","5","4","29","-1"
"5","Steven Adams","36:35","4","9",".444","0","0","","4","6",".667","4","3","7","3","0","0","0","1","12","-4"
"6","Corey Brewer","33:38","2","3",".667","1","1","1.000","2","2","1.000","2","1","3","1","2","1","1","3","7","-3"
"8","Alex Abrines","21:17","4","7",".571","3","5",".600","0","0","","0","3","3","0","0","0","1","2","11","+14"
"9","Jerami Grant","14:18","2","4",".500","0","0","","0","0","","0","3","3","2","1","1","2","1","4","+12"
"10","Raymond Felton","11:55","1","4",".250","0","1",".000","0","0","","0","1","1","0","0","1","1","1","2","+9"
"11","Patrick Patterson","7:46","0","0","","0","0","","0","0","","0","2","2","0","0","0","0","1","0","+6"
"12","Terrance Ferguson","2:28","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","2","0","+3"
"13","Josh Huestis","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Dakari Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","41","85",".482","14","29",".483","20","23",".870","9","37","46","16","8","5","17","19","116",""
