"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Victor Oladipo","41:10","5","20",".250","3","8",".375","4","5",".800","1","5","6","5","0","2","3","1","17","0"
"3","Thaddeus Young","39:02","5","12",".417","1","2",".500","1","4",".250","4","12","16","1","3","2","0","3","12","-6"
"4","Bojan Bogdanovic","33:49","4","13",".308","2","8",".250","0","0","","0","6","6","2","0","0","1","3","10","-2"
"5","Darren Collison","31:48","5","14",".357","1","5",".200","1","1","1.000","0","5","5","8","1","0","0","1","12","+5"
"6","Myles Turner","22:46","7","9",".778","3","4",".750","0","0","","0","2","2","0","1","0","1","4","17","-4"
"8","Domantas Sabonis","25:14","9","12",".750","1","1","1.000","0","1",".000","3","3","6","0","0","0","2","1","19","0"
"9","Lance Stephenson","23:09","5","11",".455","1","4",".250","0","0","","1","1","2","6","1","1","1","4","11","0"
"10","Cory Joseph","16:12","0","2",".000","0","1",".000","0","0","","1","1","2","3","1","0","0","2","0","-9"
"11","Trevor Booker","6:50","0","0","","0","0","","2","2","1.000","1","1","2","0","0","0","0","0","2","-4"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","40","93",".430","12","33",".364","8","13",".615","11","36","47","25","7","5","8","19","100",""
