"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Victor Oladipo","39:42","2","15",".133","1","7",".143","7","9",".778","1","11","12","4","1","0","2","2","12","-2"
"3","Bojan Bogdanovic","33:21","4","9",".444","3","5",".600","0","0","","1","0","1","3","1","0","4","3","11","-5"
"4","Thaddeus Young","30:51","8","9",".889","0","1",".000","0","1",".000","2","4","6","1","0","0","2","5","16","+2"
"5","Darren Collison","21:26","1","5",".200","0","1",".000","2","3",".667","0","1","1","3","1","0","0","0","4","-7"
"6","Myles Turner","20:55","3","4",".750","0","0","","2","2","1.000","0","3","3","0","0","2","3","5","8","-5"
"8","Domantas Sabonis","33:08","8","12",".667","0","0","","6","8",".750","1","4","5","2","1","0","1","2","22","+2"
"9","Cory Joseph","26:34","2","6",".333","0","2",".000","2","2","1.000","1","4","5","6","2","1","1","0","6","+4"
"10","Lance Stephenson","22:57","4","8",".500","2","4",".500","2","2","1.000","0","0","0","4","0","0","1","3","12","+1"
"11","Trevor Booker","11:06","2","3",".667","0","0","","0","0","","1","0","1","0","1","0","0","2","4","-5"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","34","71",".479","6","20",".300","21","27",".778","7","27","34","23","7","3","14","22","95",""
