"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Bradley Beal","41:14","8","17",".471","2","6",".333","1","1","1.000","0","2","2","4","3","0","1","1","19","-10"
"3","John Wall","39:09","6","20",".300","3","5",".600","8","10",".800","0","3","3","15","4","2","5","3","23","+2"
"4","Markieff Morris","37:57","9","15",".600","1","4",".250","3","3","1.000","2","9","11","6","0","0","0","5","22","-12"
"5","Otto Porter","31:51","4","7",".571","1","3",".333","0","0","","0","5","5","1","1","1","0","1","9","-3"
"6","Marcin Gortat","28:30","6","9",".667","0","0","","0","0","","2","4","6","0","0","0","1","3","12","-6"
"8","Mike Scott","26:57","7","10",".700","0","0","","0","0","","2","1","3","0","0","0","2","2","14","+6"
"9","Kelly Oubre","16:09","1","4",".250","1","2",".500","0","0","","0","5","5","1","1","0","2","3","3","-5"
"10","Tomas Satoransky","11:46","0","3",".000","0","1",".000","2","2","1.000","0","0","0","1","0","0","1","0","2","-6"
"11","Tim Frazier","3:51","0","1",".000","0","0","","0","0","","0","0","0","1","1","0","0","1","0","-2"
"12","Ian Mahinmi","2:36","0","0","","0","0","","2","2","1.000","0","0","0","0","1","0","1","2","2","-4"
"13","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ty Lawson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jodie Meeks","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended"
"16","Team Totals","240","41","86",".477","8","21",".381","16","18",".889","6","29","35","29","11","3","13","21","106",""
