"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Bojan Bogdanovic","38:46","5","17",".294","1","6",".167","4","4","1.000","0","6","6","1","3","0","1","3","15","+18"
"3","Victor Oladipo","36:52","11","19",".579","6","9",".667","4","8",".500","0","6","6","4","4","1","4","3","32","+21"
"4","Myles Turner","33:32","6","9",".667","1","2",".500","3","4",".750","1","7","8","2","0","1","1","3","16","+15"
"5","Thaddeus Young","31:19","3","4",".750","0","0","","1","2",".500","2","1","3","1","0","1","0","0","7","+23"
"6","Darren Collison","30:44","2","9",".222","1","4",".250","1","2",".500","1","4","5","6","2","0","2","0","6","+14"
"8","Cory Joseph","20:46","1","5",".200","1","1","1.000","0","0","","0","3","3","3","3","0","0","2","3","+2"
"9","Domantas Sabonis","18:56","2","4",".500","0","2",".000","0","0","","2","2","4","2","0","1","0","5","4","-8"
"10","Lance Stephenson","17:26","5","11",".455","1","4",".250","1","3",".333","1","4","5","0","0","0","2","2","12","-1"
"11","Trevor Booker","11:40","1","1","1.000","0","0","","1","2",".500","1","3","4","0","0","0","1","3","3","+6"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","36","79",".456","11","28",".393","15","25",".600","8","36","44","19","12","4","11","21","98",""
