"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Chris Paul","38:11","8","17",".471","2","7",".286","5","7",".714","2","9","11","3","1","0","1","4","23","-7"
"3","James Harden","35:08","14","24",".583","5","9",".556","8","10",".800","1","3","4","7","1","0","4","4","41","-7"
"4","P.J. Tucker","34:30","0","3",".000","0","2",".000","1","3",".333","1","4","5","2","1","1","1","3","1","-8"
"5","Clint Capela","29:57","6","7",".857","0","0","","0","0","","1","5","6","3","1","2","0","0","12","-3"
"6","Trevor Ariza","23:21","3","8",".375","1","5",".200","1","1","1.000","0","2","2","0","1","0","1","5","8","-5"
"8","Eric Gordon","33:54","6","13",".462","3","7",".429","0","0","","0","5","5","3","0","0","4","1","15","-10"
"9","Luc Mbah a Moute","17:28","0","6",".000","0","2",".000","0","0","","1","3","4","0","0","0","1","0","0","-14"
"10","Gerald Green","16:42","2","5",".400","2","4",".500","0","0","","1","2","3","0","0","0","1","4","6","-9"
"11","Nene Hilario","5:45","0","1",".000","0","0","","0","0","","0","1","1","0","0","0","0","1","0","+1"
"12","Ryan Anderson","5:04","0","1",".000","0","1",".000","0","0","","0","1","1","0","0","0","0","1","0","-3"
"13","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","39","85",".459","13","37",".351","15","21",".714","7","35","42","18","5","3","13","23","106",""
