"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Anthony Davis","40:25","9","18",".500","1","2",".500","3","5",".600","3","9","12","1","2","2","5","3","22","+10"
"3","Nikola Mirotic","38:57","6","11",".545","3","7",".429","2","2","1.000","0","8","8","0","0","2","0","3","17","+18"
"4","Rajon Rondo","38:49","6","11",".545","2","3",".667","2","2","1.000","1","9","10","9","0","0","6","2","16","+17"
"5","Jrue Holiday","38:04","14","24",".583","2","5",".400","3","4",".750","2","1","3","9","1","0","1","5","33","+12"
"6","E'Twaun Moore","30:57","3","9",".333","1","3",".333","1","4",".250","3","3","6","2","0","0","1","2","8","+17"
"8","Ian Clark","17:27","1","5",".200","1","2",".500","0","0","","0","1","1","3","0","0","1","1","3","-12"
"9","Solomon Hill","15:40","1","2",".500","0","0","","2","2","1.000","0","1","1","1","1","0","0","0","4","-11"
"10","Darius Miller","15:24","3","4",".750","2","2","1.000","0","0","","0","1","1","0","0","0","0","1","8","-4"
"11","Cheick Diallo","4:17","0","0","","0","0","","0","0","","1","0","1","0","0","0","0","0","0","-2"
"12","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"14","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","43","84",".512","12","24",".500","13","19",".684","10","33","43","25","4","4","14","17","111",""
