"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","James Johnson","36:34","7","7","1.000","2","2","1.000","2","3",".667","1","6","7","5","3","1","3","4","18","+6"
"3","Josh Richardson","33:08","5","12",".417","1","5",".200","3","3","1.000","0","5","5","3","0","3","0","4","14","-7"
"4","Goran Dragic","25:29","8","14",".571","1","3",".333","3","4",".750","0","4","4","3","0","0","1","2","20","+11"
"5","Hassan Whiteside","15:10","1","2",".500","0","0","","2","2","1.000","2","3","5","0","0","1","3","4","4","+1"
"6","Tyler Johnson","14:06","1","4",".250","1","1","1.000","2","2","1.000","1","3","4","2","0","0","0","1","5","+3"
"8","Kelly Olynyk","33:22","3","8",".375","1","2",".500","4","4","1.000","2","3","5","6","2","1","4","3","11","+11"
"9","Dwyane Wade","25:58","11","16",".688","0","1",".000","6","8",".750","2","5","7","3","2","0","3","2","28","+16"
"10","Justise Winslow","20:59","1","5",".200","0","2",".000","0","0","","0","3","3","0","0","1","1","4","2","+8"
"11","Wayne Ellington","20:27","3","10",".300","3","8",".375","2","2","1.000","0","1","1","1","1","0","0","2","11","-10"
"12","Bam Adebayo","9:34","0","4",".000","0","1",".000","0","2",".000","3","2","5","0","0","0","0","0","0","+3"
"13","Rodney McGruder","5:13","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","1","0","+8"
"14","Udonis Haslem","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Luke Babbitt","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","40","82",".488","9","25",".360","24","30",".800","11","35","46","23","8","7","15","27","113",""
