"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","James Harden","36:29","9","22",".409","2","10",".200","12","13",".923","2","4","6","11","2","0","2","5","32","0"
"3","Chris Paul","35:28","8","19",".421","2","5",".400","5","7",".714","0","5","5","3","3","0","2","5","23","-3"
"4","Trevor Ariza","33:18","2","5",".400","1","4",".250","0","0","","0","4","4","0","1","0","0","1","5","-10"
"5","P.J. Tucker","33:17","2","9",".222","1","5",".200","0","0","","2","8","10","3","1","2","0","2","5","+3"
"6","Clint Capela","30:59","10","15",".667","0","0","","1","2",".500","5","6","11","2","1","2","0","4","21","+4"
"8","Eric Gordon","34:26","5","16",".313","3","6",".500","2","2","1.000","2","4","6","1","1","2","2","3","15","-9"
"9","Luc Mbah a Moute","16:01","1","4",".250","0","2",".000","2","3",".667","0","4","4","1","0","1","1","0","4","-10"
"10","Gerald Green","9:08","1","3",".333","1","3",".333","0","0","","0","0","0","0","2","0","0","0","3","-11"
"11","Ryan Anderson","6:53","0","2",".000","0","2",".000","0","0","","0","2","2","1","0","0","0","1","0","+1"
"12","Nene Hilario","4:01","0","0","","0","0","","0","0","","0","1","1","0","0","0","0","0","0","-5"
"13","Joe Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tarik Black","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Aaron Jackson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","38","95",".400","10","37",".270","22","27",".815","11","38","49","22","11","7","7","21","108",""
