"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Anthony Davis","33:35","9","20",".450","0","1",".000","3","4",".750","2","8","10","0","3","2","1","2","21","-27"
"3","Rajon Rondo","32:36","4","10",".400","0","2",".000","1","2",".500","0","8","8","11","1","1","2","1","9","-15"
"4","Jrue Holiday","30:54","4","14",".286","1","4",".250","2","2","1.000","0","3","3","4","0","0","0","5","11","-23"
"5","Nikola Mirotic","28:47","3","9",".333","1","4",".250","2","2","1.000","2","6","8","2","1","0","3","2","9","-9"
"6","E'Twaun Moore","21:34","7","11",".636","1","1","1.000","0","0","","1","1","2","0","1","0","1","4","15","-9"
"8","Ian Clark","28:03","3","10",".300","1","4",".250","0","0","","0","0","0","0","0","0","2","4","7","-23"
"9","Darius Miller","24:40","3","7",".429","2","5",".400","1","1","1.000","0","3","3","6","1","0","1","2","9","+1"
"10","Solomon Hill","16:56","1","4",".250","0","1",".000","0","0","","0","2","2","0","0","0","1","2","2","-11"
"11","Cheick Diallo","14:40","2","4",".500","0","0","","0","0","","2","1","3","0","0","0","0","1","4","+1"
"12","Jordan Crawford","8:15","6","7",".857","2","3",".667","0","0","","0","3","3","1","0","0","1","1","14","+5"
"13","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"16","Team Totals","240","42","96",".438","8","25",".320","9","11",".818","7","35","42","24","7","3","12","24","101",""
