"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Dario Saric","38:57","9","17",".529","1","3",".333","6","6","1.000","4","4","8","4","1","1","0","4","25","-1"
"3","T.J. McConnell","38:57","9","12",".750","1","1","1.000","0","1",".000","3","5","8","5","0","0","0","3","19","+18"
"4","Joel Embiid","35:17","6","15",".400","2","5",".400","1","2",".500","3","9","12","2","0","0","2","2","15","+22"
"5","J.J. Redick","32:38","3","11",".273","1","7",".143","0","2",".000","0","1","1","3","1","0","0","2","7","+17"
"6","Ben Simmons","32:35","6","15",".400","0","0","","7","8",".875","1","12","13","5","2","0","4","3","19","+5"
"8","Marco Belinelli","24:31","2","10",".200","1","3",".333","4","4","1.000","0","1","1","1","1","0","0","2","9","-3"
"9","Robert Covington","19:00","1","7",".143","1","5",".200","0","0","","2","3","5","3","1","1","1","4","3","-3"
"10","Ersan Ilyasova","17:19","2","7",".286","0","2",".000","2","3",".667","3","2","5","1","0","1","1","3","6","+1"
"11","Justin Anderson","0:46","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-1"
"12","Amir Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Markelle Fultz","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Richaun Holmes","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jerryd Bayless","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","38","94",".404","7","26",".269","20","26",".769","16","37","53","24","6","3","8","23","103",""
