"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Jrue Holiday","40:42","15","23",".652","2","7",".286","9","12",".750","1","2","3","8","0","0","7","1","41","+3"
"3","Nikola Mirotic","40:31","4","8",".500","1","3",".333","1","2",".500","0","11","11","1","2","3","1","3","10","+8"
"4","Anthony Davis","38:45","15","23",".652","2","4",".500","15","17",".882","4","6","10","1","0","3","2","4","47","+15"
"5","Rajon Rondo","34:51","3","7",".429","0","1",".000","1","1","1.000","0","7","7","16","0","0","2","2","7","+12"
"6","E'Twaun Moore","34:42","5","10",".500","1","3",".333","3","3","1.000","0","3","3","1","3","0","1","3","14","+7"
"8","Darius Miller","22:50","1","2",".500","1","2",".500","0","0","","1","3","4","0","0","0","0","1","3","+3"
"9","Solomon Hill","16:44","1","2",".500","1","2",".500","3","4",".750","1","3","4","1","0","0","1","3","6","-7"
"10","Ian Clark","10:55","1","3",".333","1","3",".333","0","0","","0","1","1","0","0","0","0","4","3","-1"
"11","Jordan Crawford","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","DeAndre Liggins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Cheick Diallo","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Emeka Okafor","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Frank Jackson","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress","Did Not Dress"
"16","Team Totals","240","45","78",".577","9","25",".360","32","39",".821","7","36","43","28","5","6","14","21","131",""
