"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","LeBron James","48:00","12","24",".500","3","8",".375","8","11",".727","0","15","15","9","0","2","8","4","35","+8"
"3","J.R. Smith","42:26","3","8",".375","3","8",".375","3","5",".600","0","4","4","0","1","1","1","2","12","+14"
"4","Jeff Green","41:54","7","14",".500","2","9",".222","3","4",".750","0","8","8","1","0","1","0","2","19","+7"
"5","George Hill","38:02","2","6",".333","0","2",".000","2","2","1.000","0","2","2","2","1","0","2","3","6","+24"
"6","Tristan Thompson","34:51","4","4","1.000","0","0","","2","3",".667","1","8","9","1","0","0","0","1","10","+14"
"8","Kyle Korver","17:36","1","6",".167","1","6",".167","0","0","","0","1","1","2","0","0","0","4","3","-5"
"9","Jordan Clarkson","9:20","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","1","0","-13"
"10","Larry Nance","7:51","1","2",".500","0","1",".000","0","0","","1","1","2","0","0","0","1","4","2","-9"
"11","Jose Calderon","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"12","Kendrick Perkins","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Rodney Hood","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","30","66",".455","9","35",".257","18","25",".720","2","39","41","15","2","4","12","21","87",""
