"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Paul George","43:12","6","21",".286","4","12",".333","2","4",".500","0","10","10","1","0","3","3","2","18","-8"
"3","Carmelo Anthony","37:55","6","18",".333","2","9",".222","3","4",".750","0","9","9","0","1","0","1","3","17","+4"
"4","Russell Westbrook","37:12","7","19",".368","2","3",".667","3","4",".750","1","8","9","13","4","0","3","4","19","-5"
"5","Corey Brewer","28:49","4","8",".500","1","3",".333","2","2","1.000","0","1","1","2","3","1","0","2","11","+9"
"6","Steven Adams","22:00","4","5",".800","0","0","","1","2",".500","5","2","7","1","1","0","2","6","9","-10"
"8","Jerami Grant","30:26","6","10",".600","0","2",".000","1","2",".500","3","3","6","1","0","0","3","3","13","+1"
"9","Raymond Felton","15:29","3","5",".600","2","4",".500","0","0","","0","2","2","3","2","0","1","1","8","-9"
"10","Alex Abrines","14:52","0","2",".000","0","1",".000","0","0","","0","0","0","0","0","0","0","3","0","-6"
"11","Patrick Patterson","10:05","0","2",".000","0","1",".000","0","0","","1","1","2","1","0","0","0","1","0","-11"
"12","Josh Huestis","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","Nick Collison","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Dakari Johnson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Terrance Ferguson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","36","90",".400","11","35",".314","12","18",".667","10","36","46","22","11","4","13","25","95",""
