"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","Myles Turner","35:35","7","12",".583","1","1","1.000","3","4",".750","1","4","5","0","0","0","3","2","18","-7"
"3","Thaddeus Young","34:55","4","6",".667","0","0","","0","0","","2","4","6","1","3","1","1","5","8","-8"
"4","Darren Collison","33:29","7","11",".636","2","4",".500","0","0","","0","5","5","6","1","0","1","0","16","-5"
"5","Bojan Bogdanovic","31:35","3","6",".500","1","3",".333","1","3",".333","0","3","3","4","1","0","2","2","8","-7"
"6","Victor Oladipo","28:07","9","18",".500","2","8",".250","2","2","1.000","0","3","3","6","2","0","6","3","22","+11"
"8","Cory Joseph","25:27","3","6",".500","0","2",".000","0","0","","0","2","2","2","1","1","0","3","6","-7"
"9","Lance Stephenson","23:59","5","9",".556","0","2",".000","0","0","","1","3","4","3","0","0","4","3","10","+3"
"10","Domantas Sabonis","15:59","2","8",".250","0","2",".000","2","2","1.000","1","4","5","0","0","0","0","1","6","+1"
"11","Trevor Booker","9:28","1","2",".500","0","0","","1","1","1.000","0","3","3","0","0","1","0","4","3","+8"
"12","Glenn Robinson","1:26","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0","0","-4"
"13","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240","41","78",".526","6","22",".273","9","12",".750","5","31","36","22","8","3","17","23","97",""
