"","Player","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","+/-"
"2","John Wall","43:57","10","21",".476","0","4",".000","6","7",".857","0","9","9","9","1","3","7","4","26","-8"
"3","Bradley Beal","36:17","8","20",".400","3","8",".375","1","2",".500","0","4","4","3","1","0","3","2","20","-14"
"4","Marcin Gortat","34:27","4","9",".444","0","0","","2","2","1.000","5","7","12","2","0","1","1","4","10","-7"
"5","Otto Porter","30:31","4","9",".444","0","3",".000","1","2",".500","0","4","4","2","1","0","1","1","9","-12"
"6","Markieff Morris","28:54","2","8",".250","0","2",".000","2","2","1.000","3","6","9","0","1","0","2","2","6","-5"
"8","Kelly Oubre","25:55","3","11",".273","1","7",".143","7","7","1.000","0","1","1","0","1","0","0","3","14","-9"
"9","Ty Lawson","14:26","2","4",".500","0","1",".000","0","0","","1","1","2","4","0","0","0","0","4","+1"
"10","Mike Scott","13:57","3","5",".600","1","1","1.000","0","0","","2","2","4","0","0","0","0","1","7","+5"
"11","Ian Mahinmi","7:33","1","1","1.000","0","0","","0","0","","1","2","3","0","1","0","0","0","2","+1"
"12","Tomas Satoransky","4:03","0","2",".000","0","0","","0","0","","2","0","2","1","0","0","1","1","0","-2"
"13","Jason Smith","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Tim Frazier","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Jodie Meeks","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended","Player Suspended"
"16","Team Totals","240","37","90",".411","5","26",".192","19","22",".864","14","36","50","21","6","4","15","18","98",""
