"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","LeBron James","43:25",".712",".680",".120",".600","5.3","17.0","10.9","54.1","5.1","0.0","11.2","38.0","140","108"
"3","J.R. Smith","35:16",".557",".500",".889",".222","9.7","3.5","6.7","9.8","0.0","2.8","9.2","14.3","129","122"
"4","Tristan Thompson","34:54",".868",".833",".000","1.000","16.4","17.6","17.0","5.5","1.6","2.8","25.8","15.5","138","114"
"5","Kevin Love","32:14",".538",".538",".615",".000","10.6","11.5","11.0","12.1","0.0","0.0","7.1","20.1","123","121"
"6","Kyle Korver","22:38",".214",".214",".714",".000","0.0","16.3","7.9","14.2","0.0","0.0","12.5","16.4","61","120"
"8","Jeff Green","21:28",".370",".200",".400",".800","0.0","5.7","2.8","7.5","2.6","4.6","0.0","14.6","99","114"
"9","George Hill","19:12",".702",".333",".667","3.667","6.0","32.1","18.5","25.4","0.0","5.1","11.3","21.3","150","112"
"10","Larry Nance","12:44",".174",".000",".000","1.000","0.0","38.7","18.6","0.0","0.0","0.0","0.0","10.5","46","113"
"11","Jordan Clarkson","10:55",".000",".000",".250",".000","10.5","0.0","5.4","0.0","0.0","0.0","20.0","21.2","17","124"
"12","Rodney Hood","7:14","","","","","0.0","17.0","8.2","0.0","0.0","0.0","","0.0","0","119"
"13","Cedi Osman","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Jose Calderon","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Ante Zizic","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".573",".500",".392",".541","35.7","74.4","54.3","56.3","6.9","8.2","11.6","100.0","120.4","115.8"
