"","Player","MP","TS%","eFG%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","ORtg","DRtg"
"2","Victor Oladipo","39:42",".316",".167",".467",".600","3.6","35.9","20.4","15.3","1.4","0.0","9.5","26.2","76","107"
"3","Bojan Bogdanovic","33:21",".611",".611",".556",".000","4.2","0.0","2.0","15.3","1.6","0.0","30.8","19.3","88","119"
"4","Thaddeus Young","30:51",".847",".889",".111",".111","9.2","16.8","13.1","7.2","0.0","0.0","17.5","18.4","130","117"
"5","Darren Collison","21:26",".316",".200",".200",".600","0.0","6.1","3.2","21.2","2.6","0.0","0.0","14.6","90","114"
"6","Myles Turner","20:55",".820",".750",".000",".500","0.0","18.6","9.7","0.0","0.0","10.7","38.1","18.7","90","110"
"8","Domantas Sabonis","33:08",".709",".667",".000",".667","4.3","15.7","10.2","12.9","1.7","0.0","6.1","24.7","138","113"
"9","Cory Joseph","26:34",".436",".333",".333",".333","5.3","19.5","12.7","35.7","4.1","4.2","12.7","14.7","111","104"
"10","Lance Stephenson","22:57",".676",".625",".500",".250","0.0","0.0","0.0","32.6","0.0","0.0","10.1","21.3","130","123"
"11","Trevor Booker","11:06",".667",".667",".000",".000","12.7","0.0","6.1","0.0","4.9","0.0","0.0","13.4","139","111"
"12","Glenn Robinson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"13","T.J. Leaf","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"14","Joe Young","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"15","Al Jefferson","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play","Did Not Play"
"16","Team Totals","240",".573",".521",".282",".380","20.6","73.0","47.9","67.6","8.0","7.0","14.5","100.0","108.7","112.2"
