Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges,Shoots,Height,Weight,Origin,Debut,Position
Alaa Abdelnaby,/players/a/abdelal01.html,1991,1995,F-C,6-10,240,"June 24, 1968",Duke,Right,6-10,240lb,"Cairo, Egypt","November 2, 1990",Power Forward
Zaid Abdul-Aziz,/players/a/abdulza01.html,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State,Right,6-9,235lb,"Brooklyn, New York","October 16, 1968",Center and Power Forward
Kareem Abdul-Jabbar,/players/a/abdulka01.html,1970,1989,C,7-2,225,"April 16, 1947",UCLA,Right,7-2,225lb,"New York, New York","October 18, 1969",Center
Mahmoud Abdul-Rauf,/players/a/abdulma02.html,1991,2001,G,6-1,162,"March 9, 1969",LSU,Right,6-1,162lb,"Gulfport, Mississippi","November 10, 1990",Point Guard
Tariq Abdul-Wahad,/players/a/abdulta01.html,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State",Right,6-6,223lb,"Maisons Alfort, France","November 11, 1997",Shooting Guard
Shareef Abdur-Rahim,/players/a/abdursh01.html,1997,2008,F,6-9,225,"December 11, 1976",California,Right,6-9,225lb,"Marietta, Georgia","November 1, 1996",Power Forward  Small Forward  and Center
Tom Abernethy,/players/a/abernto01.html,1977,1981,F,6-7,220,"May 6, 1954",Indiana,Right,6-7,220lb,"South Bend, Indiana","November 19, 1976",Small Forward and Power Forward
Forest Able,/players/a/ablefo01.html,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky,Right,6-3,180lb,NA,"October 28, 1956",Guard
John Abramovic,/players/a/abramjo01.html,1947,1948,F,6-3,195,"February 9, 1919",Salem University,Right,6-3,195lb,"Etna, Pennsylvania","November 2, 1946",Forward
Álex Abrines,/players/a/abrinal01.html,2017,2019,G-F,6-6,200,"August 1, 1993",,Right,6-6,200lb,"Palma de Mallorca, Spa","October 26, 2016",Shooting Guard
Precious Achiuwa,/players/a/achiupr01.html,2021,2022,F,6-8,225,"September 19, 1999",Memphis,Right,6-8,225lb,"Port Harcourt, Nigeria","December 23, 2020",Center and Power Forward
Alex Acker,/players/a/ackeral01.html,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine,Right,6-5,185lb,"Compton, California","February 21, 2006",Shooting Guard
Don Ackerman,/players/a/ackerdo01.html,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,Right,6-0,183lb,"New York, New York","October 31, 1953",Point Guard
Mark Acres,/players/a/acresma01.html,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts,Right,6-11,220lb,"Inglewood, California","November 6, 1987",Center
Bud Acton,/players/a/actonbu01.html,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,Right,6-6,210lb,NA,"February 1, 1968",Small Forward
Quincy Acy,/players/a/acyqu01.html,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor,Right,6-7,240lb,"Tyler, Texas","November 7, 2012",Power Forward and Small Forward
Alvan Adams,/players/a/adamsal01.html,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma,Right,6-9,210lb,"Lawrence, Kansas","October 25, 1975",Center and Power Forward
Don Adams,/players/a/adamsdo01.html,1971,1977,F,6-6,210,"November 27, 1947",Northwestern,Right,6-6,210lb,"Atlanta, Georgia","October 13, 1970",Small Forward
George Adams,/players/a/adamsge01.html,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,Right,6-5,210lb,K,NA,Small Forward
Hassan Adams,/players/a/adamsha01.html,2007,2009,G,6-4,220,"June 20, 1984",Arizona,Right,6-4,220lb,"Inglewood, California","November 1, 2006",Shooting Guard
Jaylen Adams,/players/a/adamsja01.html,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure,Right,6-0,225lb,"Baltimore, Maryland","October 17, 2018",Point Guard
Jordan Adams,/players/a/adamsjo01.html,2015,2016,G,6-5,209,"July 8, 1994",UCLA,Right,6-5,209lb,"Atlanta, Georgia","November 3, 2014",Shooting Guard
Michael Adams,/players/a/adamsmi01.html,1986,1996,G,5-10,162,"January 19, 1963",Boston College,Right,5-10,162lb,"Hartford, Connecticut","October 25, 1985",Point Guard
Steven Adams,/players/a/adamsst01.html,2014,2022,C,6-11,265,"July 20, 1993",Pitt,Right,6-11,265lb,"Rotorua, New Zealand","October 30, 2013",Center
Rafael Addison,/players/a/addisra01.html,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse,Right,6-7,215lb,"Jersey City, New Jersey","November 1, 1986",Small Forward
Bam Adebayo,/players/a/adebaba01.html,2018,2022,C-F,6-9,255,"July 18, 1997",Kentucky,Right,6-9,255lb,"Newark, New Jersey","October 18, 2017",Center and Power Forward
Deng Adel,/players/a/adelde01.html,2019,2019,F,6-7,200,"February 1, 1997",Louisville,Right,6-7,200lb,"Juba, South Sudan","January 19, 2019",Small Forward
Rick Adelman,/players/a/adelmri01.html,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount,Right,6-1,175lb,"Lynwood, California","October 17, 1968",Point Guard
Jeff Adrien,/players/a/adrieje01.html,2011,2015,F,6-7,245,"February 10, 1986",UConn,Right,6-7,245lb,Brookl,"October 27, 2010",Power Forward
Arron Afflalo,/players/a/afflaar01.html,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA,Right,6-5,210lb,"Los Angeles, California","November 1, 2007",Shooting Guard and Small Forward
Maurice Ager,/players/a/agerma01.html,2007,2011,G,6-5,202,"February 9, 1984",Michigan State,Right,6-5,202lb,"Detroit, Michigan","November 4, 2006",Shooting Guard
Mark Aguirre,/players/a/aguirma01.html,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul,Right,6-6,232lb,"Chicago, Ill","October 30, 1981",Small Forward
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,G,6-2,190,"May 27, 1984",Missouri State,Right,6-2,190lb,"St. Louis, Missouri","March 21, 2008",Point Guard
