Player,url,From,To,Pos,Ht,Wt,Birth Date,Colleges
Alaa Abdelnaby,/players/a/abdelal01.html,1991,1995,F-C,6-10,240,"June 24, 1968",Duke
Zaid Abdul-Aziz,/players/a/abdulza01.html,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State
Kareem Abdul-Jabbar,/players/a/abdulka01.html,1970,1989,C,7-2,225,"April 16, 1947",UCLA
Mahmoud Abdul-Rauf,/players/a/abdulma02.html,1991,2001,G,6-1,162,"March 9, 1969",LSU
Tariq Abdul-Wahad,/players/a/abdulta01.html,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State"
Shareef Abdur-Rahim,/players/a/abdursh01.html,1997,2008,F,6-9,225,"December 11, 1976",California
Tom Abernethy,/players/a/abernto01.html,1977,1981,F,6-7,220,"May 6, 1954",Indiana
Forest Able,/players/a/ablefo01.html,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky
John Abramovic,/players/a/abramjo01.html,1947,1948,F,6-3,195,"February 9, 1919",Salem University
Álex Abrines,/players/a/abrinal01.html,2017,2019,G-F,6-6,200,"August 1, 1993",
Precious Achiuwa,/players/a/achiupr01.html,2021,2022,F,6-8,225,"September 19, 1999",Memphis
Alex Acker,/players/a/ackeral01.html,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine
Don Ackerman,/players/a/ackerdo01.html,1954,1954,G,6-0,183,"September 4, 1930",Long Island University
Mark Acres,/players/a/acresma01.html,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts
Bud Acton,/players/a/actonbu01.html,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College
Quincy Acy,/players/a/acyqu01.html,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor
Alvan Adams,/players/a/adamsal01.html,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma
Don Adams,/players/a/adamsdo01.html,1971,1977,F,6-6,210,"November 27, 1947",Northwestern
George Adams,/players/a/adamsge01.html,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University
Hassan Adams,/players/a/adamsha01.html,2007,2009,G,6-4,220,"June 20, 1984",Arizona
Jaylen Adams,/players/a/adamsja01.html,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure
Jordan Adams,/players/a/adamsjo01.html,2015,2016,G,6-5,209,"July 8, 1994",UCLA
Michael Adams,/players/a/adamsmi01.html,1986,1996,G,5-10,162,"January 19, 1963",Boston College
Steven Adams,/players/a/adamsst01.html,2014,2022,C,6-11,265,"July 20, 1993",Pitt
Rafael Addison,/players/a/addisra01.html,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse
Bam Adebayo,/players/a/adebaba01.html,2018,2022,C-F,6-9,255,"July 18, 1997",Kentucky
Deng Adel,/players/a/adelde01.html,2019,2019,F,6-7,200,"February 1, 1997",Louisville
Rick Adelman,/players/a/adelmri01.html,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount
Jeff Adrien,/players/a/adrieje01.html,2011,2015,F,6-7,245,"February 10, 1986",UConn
Arron Afflalo,/players/a/afflaar01.html,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA
Maurice Ager,/players/a/agerma01.html,2007,2011,G,6-5,202,"February 9, 1984",Michigan State
Mark Aguirre,/players/a/aguirma01.html,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul
Blake Ahearn,/players/a/ahearbl01.html,2008,2012,G,6-2,190,"May 27, 1984",Missouri State
Danny Ainge,/players/a/aingeda01.html,1982,1995,G,6-4,175,"March 17, 1959",BYU
Matthew Aitch,/players/a/aitchma01.html,1968,1968,F,6-7,230,"September 21, 1944",Michigan State
Alexis Ajinça,/players/a/ajincal01.html,2009,2017,C-F,7-2,248,"May 6, 1988",
Henry Akin,/players/a/akinhe01.html,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University
Josh Akognon,/players/a/akognjo01.html,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton"
DeVaughn Akoon-Purcell,/players/a/akoonde01.html,2019,2019,G,6-6,200,"June 5, 1993",Illinois State
Solomon Alabi,/players/a/alabiso01.html,2011,2012,C,7-1,251,"March 21, 1988",Florida State
Mark Alarie,/players/a/alarima01.html,1987,1991,F,6-8,217,"December 11, 1963",Duke
Gary Alcorn,/players/a/alcorga01.html,1960,1961,C,6-9,225,"October 8, 1936",Fresno State
Santi Aldama,/players/a/aldamsa01.html,2022,2022,F,6-11,224,"January 10, 2001",Loyola (MD)
Furkan Aldemir,/players/a/aldemfu01.html,2015,2015,F-C,6-10,240,"August 9, 1991",
Cole Aldrich,/players/a/aldrico01.html,2011,2018,C,6-11,250,"October 31, 1988",Kansas
LaMarcus Aldridge,/players/a/aldrila01.html,2007,2022,F-C,6-11,250,"July 19, 1985",Texas
Chuck Aleksinas,/players/a/aleksch01.html,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn"
Cliff Alexander,/players/a/alexacl01.html,2016,2016,F,6-8,245,"November 16, 1995",Kansas
Cory Alexander,/players/a/alexaco01.html,1996,2005,G,6-1,185,"June 22, 1973",Virginia
Courtney Alexander,/players/a/alexaco02.html,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State"
Gary Alexander,/players/a/alexaga01.html,1994,1994,F,6-7,240,"November 1, 1969",South Florida
Joe Alexander,/players/a/alexajo01.html,2009,2010,F,6-8,230,"December 26, 1986",West Virginia
Kyle Alexander,/players/a/alexaky01.html,2020,2020,F,6-11,220,"October 21, 1996",Tennessee
Ty-Shon Alexander,/players/a/alexaty01.html,2021,2021,G,6-3,195,"July 16, 1998",Creighton
Victor Alexander,/players/a/alexavi01.html,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State
Nickeil Alexander-Walker,/players/a/alexani01.html,2020,2022,G,6-6,205,"September 2, 1998",Virginia Tech
Steve Alford,/players/a/alforst01.html,1988,1991,G,6-2,183,"November 23, 1964",Indiana
Rawle Alkins,/players/a/alkinra01.html,2019,2019,G,6-5,225,"October 29, 1997",Arizona
Bill Allen,/players/a/allenbi01.html,1968,1968,C-F,6-8,205,,New Mexico State
Bob Allen,/players/a/allenbo01.html,1969,1969,F,6-9,205,"July 17, 1946",Marshall
Grayson Allen,/players/a/allengr01.html,2019,2022,G,6-4,198,"October 8, 1995",Duke
Jarrett Allen,/players/a/allenja01.html,2018,2022,C-F,6-11,243,"April 21, 1998",Texas
Jerome Allen,/players/a/allenje01.html,1996,1997,G,6-4,184,"January 28, 1973",Penn
Kadeem Allen,/players/a/allenka01.html,2018,2020,G,6-1,200,"January 15, 1993",Arizona
Lavoy Allen,/players/a/allenla01.html,2012,2017,F-C,6-9,260,"February 4, 1989",Temple
Lucius Allen,/players/a/allenlu01.html,1970,1979,G,6-2,175,"September 26, 1947",UCLA
Malik Allen,/players/a/allenma01.html,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova
Randy Allen,/players/a/allenra01.html,1989,1990,F,6-8,220,"January 26, 1965",Florida State
Ray Allen,/players/a/allenra02.html,1997,2014,G,6-5,205,"July 20, 1975",UConn
Tony Allen,/players/a/allento01.html,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State"
Willie Allen,/players/a/allenwi01.html,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL)
Odis Allison,/players/a/allisod01.html,1972,1972,F,6-6,195,"October 2, 1949",UNLV
Lance Allred,/players/a/allrela01.html,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State"
Darrell Allums,/players/a/allumda01.html,1981,1981,F,6-9,220,"September 12, 1958",UCLA
Morris Almond,/players/a/almonmo01.html,2008,2012,G,6-6,225,"February 2, 1985",Rice University
Derrick Alston,/players/a/alstode01.html,1995,1997,F,6-11,225,"August 20, 1972",Duquesne
Rafer Alston,/players/a/alstora01.html,2000,2010,G,6-2,171,"July 24, 1976",Fresno State
Peter Aluma,/players/a/alumape01.html,1999,1999,C,6-10,260,"April 23, 1973",Liberty
Jose Alvarado,/players/a/alvarjo01.html,2022,2022,G,6-0,179,"April 12, 1998",Georgia Tech
John Amaechi,/players/a/amaecjo01.html,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State"
Ashraf Amaya,/players/a/amayaas01.html,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois
Al-Farouq Aminu,/players/a/aminual01.html,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest
Lou Amundson,/players/a/amundlo01.html,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV
Bob Anderegg,/players/a/anderbo01.html,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State
Chris Andersen,/players/a/anderch01.html,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
David Andersen,/players/a/anderda03.html,2010,2011,C,6-11,245,"June 23, 1980",
Alan Anderson,/players/a/anderal01.html,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State
Andrew Anderson,/players/a/anderan01.html,1968,1970,G,6-2,184,"July 6, 1945",Canisius
Antonio Anderson,/players/a/anderan02.html,2010,2010,G,6-6,215,"June 5, 1985",Memphis
Cliff Anderson,/players/a/andercl01.html,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's
Dan Anderson,/players/a/anderda01.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College
Dan Anderson,/players/a/anderda01.html,1975,1976,G,6-2,185,"January 1, 1951",USC
Dan Anderson,/players/a/anderda02.html,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College
Dan Anderson,/players/a/anderda02.html,1975,1976,G,6-2,185,"January 1, 1951",USC
Derek Anderson,/players/a/anderde01.html,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky"
Dwight Anderson,/players/a/anderdw01.html,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC"
Eric Anderson,/players/a/anderer01.html,1993,1994,F,6-9,220,"May 26, 1970",Indiana
Greg Anderson,/players/a/andergr01.html,1988,1998,F-C,6-10,230,"June 22, 1964",Houston
J.J. Anderson,/players/a/anderjj01.html,1983,1985,F,6-8,195,"September 23, 1960",Bradley
James Anderson,/players/a/anderja01.html,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State
Jerome Anderson,/players/a/anderje01.html,1976,1977,G,6-5,195,"October 9, 1953",West Virginia
Justin Anderson,/players/a/anderju01.html,2016,2022,G,6-6,230,"November 19, 1993",Virginia
Kenny Anderson,/players/a/anderke01.html,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech
Kim Anderson,/players/a/anderki01.html,1979,1979,F,6-7,200,"May 12, 1955",Missouri
Kyle Anderson,/players/a/anderky01.html,2015,2022,F-G,6-9,230,"September 20, 1993",UCLA
Michael Anderson,/players/a/andermi01.html,1989,1989,G,5-11,184,"March 23, 1966",Drexel
Nick Anderson,/players/a/anderni01.html,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois
Richard Anderson,/players/a/anderri01.html,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara
Ron Anderson,/players/a/anderro01.html,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State
Ryan Anderson,/players/a/anderry01.html,2009,2020,F,6-9,240,"May 6, 1988",California
Shandon Anderson,/players/a/andersh01.html,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia
Willie Anderson,/players/a/anderwi01.html,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia
